Emoji,Sentiment
😂,0.3231
❤,0.6006
♥,0.4698
😍,0.4311
😭,-0.0516
😘,0.256
😊,0.2054
👌,0.1649
💕,0.0628
👏,0.1216
😁,0.0985
☺,0.1357
♡,0.1323
👍,0.0968
😩,-0.0666
🙏,0.0643
✌,0.0712
😏,0.0506
😉,0.0706
🙌,0.0844
🙈,0.063
💪,0.0783
😄,0.059
😒,-0.0519
💃,0.0458
💖,0.0415
😃,-0.0101
😔,-0.0176
😱,0.0215
🎉,0.0445
😜,0.0472
☯,0.01
🌸,0.0284
💜,0.0247
💙,0.0407
✨,-0.0088
😳,0.0015
💗,0.0173
★,0.001
█,-0.026
☀,0.0178
😡,-0.0131
😎,-0.0339
😢,0.0005
💋,0.0257
😋,0.0168
🙊,-0.0539
😴,-0.0058
🎶,-0.0225
💞,0.0267
😌,-0.0515
🔥,-0.0629
💯,0.0077
🔫,-0.0118
💛,0.0204
💁,0.018
💚,-0.0015
♫,-0.0143
😞,-0.0063
😆,-0.0512
😝,-0.0374
😪,-0.0039
�,-0.0661
😫,-0.0068
😅,0.0083
👊,0.0105
💀,-0.0095
😀,-0.0082
😚,0.0123
😻,0.0008
©,-0.0437
👀,-0.0811
💘,0.011
🐓,0.011
☕,-0.0383
👋,-0.0381
✋,0.0048
🎊,0.0084
🍕,-0.0023
❄,-0.0128
😥,0.0042
😕,0.0485
💥,0.049
💔,0.0824
😤,0.0723
😈,-0.0507
►,0.053
✈,0.0018
🔝,-0.0089
😰,-0.0006
⚽,0.0051
😑,0.0446
👑,0.0101
😹,-0.075
👉,-0.0065
🍃,-0.015
🎁,0.0122
😠,0.0597
🐧,0.0032
☆,-0.067
🍀,0.026
🎈,-0.0195
🎅,0.025
😓,0.0842
😣,0.0743
😐,0.029
✊,-0.0216
😨,0.0673
😖,0.075
💤,-0.0242
💓,0.0039
👎,0.0662
💦,-0.0195
✔,0.068
😷,0.0633
⚡,-0.046
🙋,-0.0154
🎄,-0.0008
💩,-0.027
🎵,-0.0094
➡,0.015
😛,-0.0028
😬,0.042
👯,-0.0122
💎,0.002
🌿,0.072
🎂,-0.0019
🌟,0.066
🔮,0
❗,0.02
👫,0.051
🏆,-0.0451
✖,-0.011
☝,0.06
😙,-0.0146
⛄,-0.0025
👅,-0.0118
♪,-0.0032
🍂,-0.0489
💏,-0.0224
🔪,0.013
🌴,-0.0022
👈,0.075
🌹,-0.0192
🙆,-0.0048
➜,-0.044
👻,0.039
💰,0.043
🍻,-0.0067
🙅,-0.034
🌞,0.065
🍁,0.034
⭐,0.049
▪,0.032
🎀,-0.0494
━,0.028
☷,-0.008
🐷,0.057
🙉,0.051
🌺,0.066
💅,0.059
🐶,0.087
🌚,0.07
👽,0.047
🎤,0.07
👭,0.068
🎧,0.06
👆,0.046
🍸,0.076
🍷,-0.008
®,-0.042
🍉,-0.007
😇,0
☑,-0.004
🏃,0.056
😿,-0.051
│,0.047
💣,0.001
🍺,-0.006
▶,-0.035
😲,-0.009
🎸,0.057
🍹,0.038
💫,0.026
📚,0.041
😶,-0.017
🌷,0.064
💝,0.004
💨,0.045
🏈,-0.001
💍,0.055
☔,0.033
👸,0.015
🇪,0.051
░,-0.005
🍩,0.042
👾,0.03
☁,0.033
🌻,0.052
😵,0.009
📒,0.04
↿,0.068
🐯,0.013
👼,0.034
🍔,0.028
😸,0.041
👶,0.043
↾,0.064
💐,0.045
🌊,-0.023
🍦,0.045
🍓,0.038
👇,0.024
💆,0.021
🍴,0.015
😧,-0.006
🇸,-0.024
😮,0.025
▓,0.01
🚫,0.032
😽,0.052
🌈,0.002
🙀,0.03
⚠,0.084
🎮,-0.034
╯,-0.001
🍆,-0.019
🍰,0.039
✓,-0.056
👐,-0.002
🙇,0.012
🍟,0.026
🍌,-0.053
💑,0.011
👬,-0.005
🐣,0.04
🎃,-0.004
▬,0.039
￼,-0.004
😟,0.006
🐾,-0.023
🎓,-0.018
🏊,0.028
🍫,0.012
📷,-0.029
👄,-0.008
🌼,0.051
🚶,-0.011
🐱,-0.051
║,0.011
🐸,-0.006
🇺,-0.032
👿,0.033
🚬,-0.034
✿,0.01
📖,0.012
🐒,0.028
🌍,-0.003
┊,0.068
🐥,0.005
🌀,-0.083
🐼,-0.018
🎥,-0.052
💄,-0.024
💸,0.011
⛔,-0.012
●,-0.06
🏀,0.017
💉,0.024
💟,0.018
🚗,-0.057
😯,0.008
📝,-0.057
═,0.01
♦,-0.025
💭,-0.077
🌙,0.009
🐟,0.024
👣,-0.033
☞,0.07
✂,0.026
🗿,-0.018
🍝,0.007
👪,-0.001
🍭,-0.063
🌃,-0.004
❌,0.016
🐰,-0.002
💊,-0.047
🚨,-0.017
😦,0.06
🍪,-0.072
🍣,-0.013
╭,-0.018
✧,0.009
🎆,0.021
╮,-0.038
🎎,0.049
🇩,0.024
✅,-0.005
👹,0.003
📱,-0.02
🙍,-0.017
🍑,0.013
🎼,-0.001
🔊,-0.015
🌌,-0.019
🍎,-0.038
🐻,-0.032
─,0.07
╰,-0.03
💇,-0.047
♬,-0.024
♚,0.02
🔴,0.01
🍱,0.075
🍊,-0.034
🍒,-0.039
🐭,0.033
👟,-0.025
🌎,-0.03
🍍,-0.041
🐮,0.009
📲,-0.052
☼,-0.009
🌅,-0.038
🇷,0.021
👠,-0.038
🌽,-0.025
💧,-0.007
❓,0.03
🍬,-0.056
😺,-0.055
🐴,-0.069
🚀,0.003
¦,-0.038
💢,-0.044
🎬,-0.006
🍧,-0.068
🍜,-0.064
🐏,0.006
🐘,0.01
👧,-0.084
⠀,0.02
🏄,0.004
➤,0.013
⬆,0.003
🍋,-0.044
🆗,-0.032
⚪,0.018
📺,-0.012
🍅,-0.067
⛅,-0.018
🐢,-0.046
👙,-0.007
🏡,-0.028
🌾,-0.024
◉,0.1
✏,-0.014
🐬,-0.002
🍤,0.02
🇹,0.022
♣,-0.023
🐝,-0.037
🌝,-0.038
🇮,0.022
🔋,0.018
🐍,-0.014
♔,0.02
🍳,0.001
🔵,-0.025
😾,0.06
🌕,-0.007
🐨,-0.02
🔐,-0.042
💿,0.022
❁,0.02
🌳,-0.001
👰,-0.01
❀,0.014
⚓,0.002
🚴,0.023
▀,-0.05
👗,-0.037
➕,-0.018
💬,-0.024
▒,-0.01
🔜,-0.036
🍨,-0.065
💲,0.08
⛽,0.05
🍙,-0.036
🍗,-0.079
🍲,-0.059
🍥,0.008
▸,0.07
♛,0.06
😼,-0.034
🐙,-0.006
👨,-0.002
🍚,-0.04
🍖,-0.059
♨,0.027
🎹,0.011
♕,0.012
▃,0.028
🚘,0.02
🍏,0.02
👩,-0.079
👦,0.04
🇬,0.08
🇧,0.08
☠,-0.01
🐠,-0.024
🚹,0.011
💵,-0.016
✰,0.023
╠,0.06
👛,-0.026
🚙,0.01
🌱,0.016
💻,0.07
🌏,-0.018
▄,-0.02
👓,0.08
◄,0.06
⚾,-0.01
🌲,-0.008
👴,-0.039
🏠,0.004
🍇,-0.038
🍘,-0.035
🍛,0.01
🐇,0.06
🔞,-0.01
👵,-0.034
◀,0.07
🔙,0.05
🌵,-0.049
🐽,0.03
🍮,-0.03
🎇,0.008
🐎,-0.008
➔,-0.03
💶,0
🐤,0.004
╩,0.05
🛀,0.03
🌑,-0.007
🚲,0.09
🐑,-0.04
🏁,0.012
🍞,0.01
🎾,-0.005
╚,0.07
🈹,0.07
🐳,0.03
👮,-0.08
☹,0.006
🐵,0.002
✪,0.07
◕,0.1
🗼,0.003
▐,-0.03
♠,0.07
┳,-0.08
👺,-0.04
🐚,0.05
👂,-0.03
🗽,0.07
🍵,-0.019
🆒,0.08
🍯,0.01
🐺,0.05
⇨,0.1
➨,0.03
🌓,0.013
🔒,0.04
╬,-0.03
👳,-0.005
🌂,0.05
🚌,0.04
♩,0.011
🍡,-0.01
❥,0.05
🎡,0.06
💌,-0.008
🐩,0.07
🌜,0.1
⌚,0.04
🚿,0.003
🐖,0.03
🔆,0.011
🌛,0.011
💂,-0.03
🐔,0.06
🙎,-0.01
🏩,0.08
🇫,0.09
🔨,-0.02
📢,0.08
🐦,0.08
🐲,-0.01
♻,0.09
🌘,0.011
🍐,0.03
🌔,0.011
╥,0.02
❊,0
👖,0.06
🚺,0.03
😗,0.002
🎭,0
🐄,0.05
◟,-0.01
🍢,-0.02
🎨,0.03
⬇,0.07
🚼,0.1
⛲,0.01
▁,0
🇴,0.06
🌗,0.011
🌖,0.011
🔅,0.015
👜,0.04
🐌,0.011
💼,0.09
🚕,0
🐹,0.05
🌠,-0.009
🐈,0.05
⇧,0.02
☎,0
🌁,0.03
⚫,0.04
♧,0.08
🏰,0.05
🚵,0.06
🎢,0.08
🎷,0.011
🎐,0.03
┈,0.008
╗,0.06
╱,0
🌇,0.08
⏰,0.07
⇩,0
🚂,0.04
◠,0.07
🎿,0.06
✦,0.01
🆔,0.012
⛪,0.02
🌒,0.09
🐪,0.09
╔,0.04
╝,0.07
👔,0.05
🔱,0.01
🆓,0.03
🐋,0.03
▽,0.06
▂,0
🐛,0.04
👕,0.06
🚋,0.01
💳,0.06
🌆,0.02
🏧,0.012
💡,0.09
🔹,0.02
⬅,0.07
🍠,0
🐫,0.05
🏪,0.01
۩,0
🇱,0.06
📹,0.06
👞,0.06
🚑,0.01
🆘,0.01
👚,0.08
🚍,0.01
□,-0.03
🐂,0.02
🚣,0.08
✳,0
🏉,0.07
🗻,0.08
🐀,0.02
╦,0.05
⛺,0.06
🐕,0.03
🏂,0.05
👡,0.05
📻,0.04
✒,0.03
🌰,0.07
🏢,0.02
🎒,0.06
⌒,0.07
🏫,-0.03
📴,0.08
🚢,0.03
🚚,-0.01
🐉,0.02
❒,0.03
🐊,0.01
🔔,0.1
◢,0.08
🏥,0.03
❔,0
🚖,-0.01
🃏,0.01
▼,0.01
▌,-0.03
☛,0.04
✩,0
💒,0.06
🚤,0.04
🐐,0.05
■,-0.03
🔚,0.04
🎻,0.04
🔷,0.02
🚦,0.01
🔓,0.01
🎽,0.05
📅,0.02
🎺,0.07
✯,0
🍈,-0.04
✉,0.03
╣,0
◤,0.09
○,0.05
🍼,0.05
📀,0.01
🚛,-0.02
📓,0.02
☉,0.02
💴,-0.02
┼,0
🐃,0
➰,-0.01
🔌,-0.01
🍄,0
📕,0.02
📣,0.04
🚓,0.03
🐗,0.05
↪,0.01
⛳,0.07
┻,-0.04
┛,0.06
┃,0.04
👱,0.01
⏳,0
💺,0.02
🏇,-0.01
☻,0.02
📞,0.04
Ⓐ,-0.01
🌉,0.05
🚩,-0.02
✎,0.05
📃,0.04
🏨,0.02
📌,-0.04
♎,-0.01
💷,0.04
🚄,0.05
▲,0.05
⛵,0.05
🔸,0.02
⌛,0.01
🚜,0.07
🐆,0.03
👒,0.02
❕,0.02
🔛,0.04
♢,0.03
🇲,0.04
❅,0.06
👝,0.03
✞,0.03
◡,0.02
🎋,0.04
👥,0.02
📵,0.01
🐡,0.02
◆,0.05
🏯,0.01
☂,0
🔭,0.03
🎪,0.02
🐜,0.04
♌,0.05
☐,-0.06
👷,0.02
↳,0
🔈,0.02
📄,0.06
📍,0.01
🚐,0.05
🚔,0
🌋,0.04
📡,0.02
⏩,0.01
🚳,0.06
✘,0.05
۞,0
☾,0
🅰,0.02
📥,0
🇼,0.03
┓,0.04
┣,0.04
Ⓛ,0.03
Ⓔ,0.03
🔦,0
👤,0.04
🚁,0.01
🎠,0.03
🐁,-0.02
📗,0.01
┐,-0.01
☮,0
♂,0.01
◞,0
📯,-0.01
🔩,0.01
👢,0.04
◂,0.02
📰,0.02
📶,0.02
🚥,0
🌄,0.01
🗾,0.02
🔶,0.02
🏤,0.02
🎩,0.02
Ⓜ,0.02
🔧,-0.03
🐅,0.01
♮,0.01
🅾,-0.01
🔄,0
☄,0
☨,0
📦,0.01
🚊,0.01
🔲,0.03
🔁,0
△,0.01
📆,0.04
❛,0.02
📉,0.02
▵,0.02
🔎,0.03
☜,0.01
🇯,0.02
🇵,0.02
📘,0.01
✡,0
ⓔ,0.03
🔑,0.01
🔃,0
👃,0
⭕,0.02
🔘,0.01
ⓒ,0
🚭,0.04
🚉,0.03
🚪,0.03
➳,0.02
🚃,0.03
┯,-0.02
🏬,0
☽,0
🆙,0.02
🆖,0.01
☪,0
┗,0.04
🚮,0
┫,0
Ⓞ,0.02
❇,0.02
✴,0.02
┌,0
☊,0.03
🔕,-0.01
⬛,-0.01
❝,0
❞,0
🚞,0.02
🍶,0.02
🌐,0.02
♀,0.01
🚅,0.02
🚒,-0.01
➣,0
♋,0.01
♍,0.02
🕝,-0.01
ⓐ,0.03
✗,0
📙,0.01
Ⓢ,0.01
📋,0.02
⇢,0
🎱,0.01
🐞,0.01
🔺,0.01
ⓡ,0.03
🎍,0
♤,0.02
🎲,0
🎯,0.02
〠,0
🔉,0.02
↩,0.03
🚾,0.01
🎣,-0.02
🔣,0.01
❎,-0.03
➥,0.01
🅱,0
🎌,0.03
◣,0.01
⏬,0.03
♭,0.01
💠,0
ⓞ,0.02
🔳,0.01
🏭,0.01
🔰,0
🎳,-0.01
☚,0.02
➽,0.01
➫,0.01
➖,-0.02
🏮,0
📛,0
꒰,0.01
꒱,0.01
◝,-0.01
📑,0.02
🎦,0
ⓧ,0.02
🇨,0
🇳,0
🔟,0.02
〓,0.02
ⓜ,0.01
➠,0.02
🚆,0.01
🚠,0
℅,-0.02
☃,0.01
🚽,0.02
📐,0
ⓝ,0.02
✮,0
⇦,0.02
👲,0.01
🚡,-0.01
🎑,0
🔬,0.02
➗,-0.01
📈,0.01
⌘,0
⏪,0.01
╹,0
◎,0.02
🔼,0
꒦,-0.02
📎,0.02
⑅,0.02
⍝,0
📁,0
✭,0.02
➲,0
♓,0.01
┏,0.02
☇,0.02
♺,0
♞,0
࿎,-0.02
📠,0
👘,0.02
↙,0.02
Ⓕ,0.01
Ⓦ,0.01
Ⓟ,0.01
🕑,0.01
💽,0
🕛,0.01
🎫,0
♈,-0.01
📟,0
℃,0
↬,0.01
🕒,0
🇰,0
↱,0
✍,0.01
⇐,0
🏦,0.01
🔻,0.01
ⓟ,0.01
ⓕ,0.01
ⓘ,0.01
♿,0.01
⇗,0.01
⇘,0.01
ⓨ,0.01
ⓙ,0.01
▫,0.01
🔇,0.01
⌃,-0.01
🔖,0.01
📜,0.01
♏,0
🚝,0.01
☢,0
🎏,0
┘,-0.01
✝,-0.01
❖,0
⍣,-0.01
📮,-0.01
🕕,-0.01
🇭,0
◜,0
🔯,0.01
➸,0.01
꒵,0.01
🕥,-0.01
♙,0
▿,0
⚃,0
✽,0.01
📼,0.01
🕐,-0.01
🀄,0.01
✾,0
✬,0.01
🆑,0
✫,0.01
🕔,-0.01
❣,0.01
➱,0
🆕,0
➢,0
↕,0
📫,0.01
🉐,0.01
♊,0
🈂,-0.01
🎰,-0.01
҂,-0.01
╤,-0.01
➛,0
♝,0
❋,0
✆,0
📔,0.01
